id	price	sale_price	sale_price_effective_date
shopify_ZZ_15464898068811_56264284668235	4956.00 CZK	3469.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464898101579_56264284701003	776.00 CZK	559.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464898199883_56264284733771	175.00 CZK		
shopify_ZZ_15464898232651_56264284766539	5534.00 CZK	4648.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464898396491_56264285192523	717.00 CZK		
shopify_ZZ_15464898462027_56264285225291	807.00 CZK	597.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464898527563_56264285258059	962.00 CZK	741.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464898593099_56264285290827	367.00 CZK	353.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464898658635_56264285356363	776.00 CZK	733.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464898724171_56264285389131	4853.00 CZK		
shopify_ZZ_15464898789707_56264285421899	3102.00 CZK	2239.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464898822475_56264285454667	3622.00 CZK	2571.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464899019083_56264285552971	657.00 CZK	474.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464899051851_56264285585739	4705.00 CZK	3714.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464899084619_56264285618507	1359.00 CZK	1185.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464899182923_56264285684043	1106.00 CZK		
shopify_ZZ_15464899248459_56264286110027	643.00 CZK	354.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464899379531_56264286142795	7760.00 CZK		
shopify_ZZ_15464899445067_56264286175563	858.00 CZK		
shopify_ZZ_15464899543371_56264286208331	875.00 CZK	612.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464899608907_56264286241099	4814.00 CZK	3610.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464899674443_56264286273867	4853.00 CZK	4780.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464899707211_56264286306635	614.00 CZK	357.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464899805515_56264286339403	1291.00 CZK	903.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464900002123_56264286404939	1856.00 CZK		
shopify_ZZ_15464900067659_56264286470475	302.00 CZK		
shopify_ZZ_15464900198731_56264286536011	5627.00 CZK	4010.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464900231499_56264286568779	612.00 CZK		
shopify_ZZ_15464900362571_56264286634315	4082.00 CZK		
shopify_ZZ_15464900526411_56264287453515	722.00 CZK	637.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464900591947_56264287486283	630.00 CZK		
shopify_ZZ_15464900690251_56264287519051	923.00 CZK		
shopify_ZZ_15464900755787_56264287945035	3106.00 CZK		
shopify_ZZ_15464900854091_56264288534859	304.00 CZK		
shopify_ZZ_15464900886859_56264288567627	292.00 CZK		
shopify_ZZ_15464900985163_56264288600395	538.00 CZK	536.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464901050699_56264288665931	1202.00 CZK		
shopify_ZZ_15464901214539_56264288731467	281.00 CZK		
shopify_ZZ_15464901280075_56264288764235	265.00 CZK		
shopify_ZZ_15464901411147_56264288829771	10078.00 CZK		
shopify_ZZ_15464901443915_56264288862539	539.00 CZK	433.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464901542219_56264288928075	5729.00 CZK	4954.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464901607755_56264288960843	4142.00 CZK		
shopify_ZZ_15464901706059_56264288993611	297.00 CZK		
shopify_ZZ_15464901771595_56264289059147	151.00 CZK		
shopify_ZZ_15464901869899_56264291844427	3045.00 CZK	2917.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464901935435_56264291877195	3401.00 CZK		
shopify_ZZ_15464902066507_56264292041035	3403.00 CZK	2518.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464902132043_56264292073803	1462.00 CZK	936.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464902197579_56264292237643	1550.00 CZK	1084.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464902263115_56264292270411	1157.00 CZK	978.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464902328651_56264292303179	6158.00 CZK		
shopify_ZZ_15464902394187_56264292335947	548.00 CZK		
shopify_ZZ_15464902459723_56264292368715	847.00 CZK	590.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464902689099_56264292434251	2053.00 CZK	1832.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464902721867_56264292467019	2303.00 CZK	1613.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464902951243_56264292565323	2485.00 CZK	1739.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464902984011_56264292598091	2019.00 CZK	1519.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464903082315_56264292630859	6374.00 CZK	6278.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464903115083_56264292663627	176.00 CZK		
shopify_ZZ_15464903213387_56264292696395	332.00 CZK	307.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464903246155_56264292729163	198.00 CZK		
shopify_ZZ_15464903409995_56264292761931	344.00 CZK		
shopify_ZZ_15464903442763_56264292794699	619.00 CZK	480.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464903541067_56264292827467	248.00 CZK		
shopify_ZZ_15464903573835_56264292860235	655.00 CZK	489.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
